Column,Coefficient,CI_0.025,CI_0.975
AAo_max_area,0.1795710176229477,0.0,0.21163853853940964
AAo_min_area,0.0,0.0,0.21104543283581725
AAo_distensibility,-0.11447884887456894,-0.17394838482141495,-0.02906719027087093
DAo_max_area,0.0,0.0,0.08028024844825238
DAo_min_area,0.13937407732009888,0.04865305973216892,0.17120585665106772
DAo_distensibility,-0.04693948104977608,-0.12119137458503246,-0.0
LAEF,0.026613358408212662,0.0,0.05829980075359342
RAEF,0.025975577533245087,0.003217905812198297,0.04864160297438502
Ell_Global,-0.0,-0.021870903857052322,0.018104605749249457
Ecc_Global,0.09663228690624237,0.05378837464377284,0.1413944646716118
Err_Global,0.016474980860948563,0.0,0.05291880816221235
LVEF,0.0,0.0,0.0
LVCO,0.12963229417800903,0.08525471892207862,0.16724578291177747
RVEF,0.0202199537307024,0.0,0.07550372127443551
WT_Global,0.18495336174964905,0.08765155114233494,0.26112990379333495
WT_Max_Global,0.0020161387510597706,0.0,0.0749372126534581
age_at_MRI,-0.10778968781232834,-0.12244040612131357,-0.09691630695015192
Sex,0.0010133007308468223,-0.005648922314867377,0.0083938296418637
Weight_at_MRI,-0.0,0.0,0.0
Height,-0.09529311954975128,-0.11945141945034266,-0.07020280454307797
BMI,0.020580463111400604,0.0,0.06337679475545883
BSA,0.0,0.0,-0.0
circum_PDSR,-0.0,-0.014156092633493244,0.01941793346777558
longit_PDSR,-0.18497464060783386,-0.24039369970560073,-0.12705093100667
radial_PDSR,0.0,-0.010693817911669611,0.023754417942836878
LVEDVi,-0.20657867193222046,-0.31920321360230447,-0.08567331749945896
LVESVi,-0.0,0.0,-0.0
LVMi,0.12763389945030212,0.014273579046130181,0.24680217243731023
RVEDVi,-0.0,-0.06604260783642531,-0.0
RVESVi,-0.05291907116770744,-0.09846438001841307,-0.0
RVSVi,-0.0,0.0,0.0
LVSVi,-0.1073242798447609,-0.1899493221193552,-0.03524325918406259
RAV_mini,0.0,0.0,0.03391104461625218
RAV_maxi,0.0016092166770249605,0.0,0.036767794471234044
LASVi,0.0,0.0,0.030941797886043777
LAV_mini,0.0,0.0,0.08253595549613234
LAV_maxi,0.039180390536785126,0.0,0.08094934932887549
RASVi,0.0,-0.009263050835579633,0.008765275799669292
chol_p30690_i0,0.03056958317756653,0.0,0.06392174977809188
creat_p30700_i0,0.012337084859609604,0.0,0.05885211853310463
HbA1c_p30750_i0,-0.10448627173900604,-0.1562023635953665,-0.04845023835077883
HDL_p30760_i0,0.011822067201137543,0.0,0.03371913395822047
LDL_p30780_i0,0.017774472013115883,0.0,0.050965186301618816
